事件ID,类型,标题,描述,NPC模型,饱足度消耗,消耗物品,消耗资源,目标值
12403,1,炼狱侍女,黑暗降临了，一个新的邪恶生物出现在大地上！,1161,6000,0,0,12403
12404,1,炼狱侍女,秘境守卫出现了！,1161,6000,0,0,12404
12405,1,阿格尼多克斯,秘境守卫出现了！,3106,6000,0,0,12405
12406,1,阿格尼多克斯,黑暗降临了，一个新的邪恶生物出现在大地上！,3106,6000,0,0,12406
12407,1,阿格尼多克斯,秘境守卫出现了！,3106,6000,0,0,12407
12408,1,阿格尼多克斯,黑暗降临了，一个新的邪恶生物出现在大地上！,3106,6000,0,0,12408
12409,1,阿格尼多克斯,秘境守卫出现了！,3106,6000,0,0,12409
12410,1,厄雷松,秘境守卫出现了！,3005,6000,0,0,12410
12411,1,厄雷松,黑暗降临了，一个新的邪恶生物出现在大地上！,3005,6000,0,0,12411
12412,1,厄雷松,秘境守卫出现了！,3005,6000,0,0,12412
12413,1,厄雷松,黑暗降临了，一个新的邪恶生物出现在大地上！,3005,6000,0,0,12413
12414,1,厄雷松,秘境守卫出现了！,3005,6000,0,0,12414
12415,1,钥匙守护者,秘境守卫出现了！,3002,6000,0,0,12415
12416,1,钥匙守护者,黑暗降临了，一个新的邪恶生物出现在大地上！,3002,6000,0,0,12416
12417,1,钥匙守护者,秘境守卫出现了！,3002,6000,0,0,12417
12418,1,钥匙守护者,黑暗降临了，一个新的邪恶生物出现在大地上！,3002,6000,0,0,12418
12419,1,钥匙守护者,秘境守卫出现了！,3002,6000,0,0,12419
12420,1,拉卡诺斯,(该守卫暂未加入）,1103,6000,0,0,
12421,1,雷兹尔,(该守卫暂未加入）,1103,6000,0,0,
12422,1,惧魔化身,(该守卫暂未加入）,1103,6000,0,0,
12423,1,奥拉什,(该守卫暂未加入）,1103,6000,0,0,
12424,1,堕落法师,(该守卫暂未加入）,1103,6000,0,0,
12425,1,艾斯坎迪尔,(该守卫暂未加入）,1103,6000,0,0,
12426,1,依祖尔,看看你曾经的爱将。,1103,6000,0,0,
12427,1,急冻魔,(该守卫暂未加入）,1103,6000,0,0,
12428,1,佐敦库勒,“真相可比谎言要有趣的多了！”,1103,6000,0,0,
12429,1,塑沙者,(该守卫暂未加入）,1103,6000,0,0,
12430,1,瑟蒂雅,(该守卫暂未加入）,1103,6000,0,0,
12431,1,缠丝女魔,(该守卫暂未加入）,1103,6000,0,0,
12432,1,哈默林,(该守卫暂未加入）,1103,6000,0,0,
12433,1,阿格尼多克斯,(该守卫暂未加入）,1103,6000,0,0,
12434,1,贪食魔,(该守卫暂未加入）,1103,6000,0,0,
12435,1,冈姆,(该守卫暂未加入）,1103,6000,0,0,
12436,1,巨像,巨像的名字叫佩伦迪。,1103,6000,0,0,
12437,1,佩伦迪,(该守卫暂未加入）,1103,6000,0,0,
12438,1,骷髅法师,(该守卫暂未加入）,1103,6000,0,0,
12439,1,白骨术士,(该守卫暂未加入）,1103,6000,0,0,
12440,1,萨克崔斯,(该守卫暂未加入）,1103,6000,0,0,
12441,1,钥匙守卫者,(该守卫暂未加入）,1103,6000,0,0,
12442,1,灰烬,(该守卫暂未加入）,1103,6000,0,0,
12443,1,屠夫,(该守卫暂未加入）,1103,6000,0,0,
12444,1,狂屠,(该守卫暂未加入）,1103,6000,0,0,
12445,1,厄雷松,(该守卫暂未加入）,1103,6000,0,0,
12446,1,疫王,(该守卫暂未加入）,1103,6000,0,0,
12447,1,特斯瑞斯,(该守卫暂未加入）,1103,6000,0,0,
12448,1,掐波者,(该守卫暂未加入）,1103,6000,0,0,
12449,1,凝霜,控制着冰系的力量。,1103,6000,0,0,
12450,1,帕祖祖,老胖子。,1103,6000,0,0,
12451,1,岩石咏唱者,一个巨大的身躯挡在你面前。,1103,6000,0,0,
12452,1,埃拉,(该守卫暂未加入）,1103,6000,0,0,
12453,1,血肠,(该守卫暂未加入）,1103,6000,0,0,
12454,1,炼狱侍女,(该守卫暂未加入）,1103,6000,0,0,
12455,2,秘境引路人,前方的道路已被乱石阻挡。,2024,6000,1201,0,1
12456,2,秘境引路人,前方的道路已被乱石阻挡。,2024,6000,1201,0,2
12457,2,秘境引导者,前方的坑道废弃已久。,2024,6000,1202,0,1
12458,2,秘境引导者,前方的坑道废弃已久。,2024,6001,1202,0,2
12459,2,先祖灵魂,秘境的引导者,2035,6000,12384,0,1
12460,2,乌尔什,你终于完成了！,2035,6000,12384,0,1
12461,2,阿卜杜哈兹尔,你会因为救了我而在历史上留下一笔了，我可以保证。哦不、不、不、不用谢我。,1179,6000,12384,0,1
12462,2,迅捷的盗贼,在阴影之中……,1117,6000,12384,0,1
12463,2,不起眼的强盗,想打架么？算我一个！,1109,6000,12384,0,1
12464,3,先祖灵魂,尽你所能。,1103,6000,0,5,3
12465,3,药剂师莱克,通过熔炼魔像有可能会给你的能力带来直接的提升！,1103,6000,0,5,1
12466,3,药剂师莱克,通过熔炼魔像有可能会给你的能力带来直接的提升！,1103,6000,0,5,2
12467,3,药剂师莱克,帮助我！,1103,6000,0,6,1
12468,3,感冒中的盗贼,额……我感觉很难受……,1109,6000,0,5,1
12469,3,正宗的强盗,这里是我们的地盘！,1117,6000,0,5,2
12470,3,迅捷的盗贼,在阴影之中……,1117,6000,0,5,2
12471,3,不起眼的强盗,想打架么？算我一个！,1109,6000,0,5,1
12472,3,地精,时间就是金钱，我的朋友！,1076,6000,0,101,15
12473,3,地精,时间就是金钱，我的朋友！,1076,6000,0,102,15
12474,3,地精,时间就是金钱，我的朋友！,1076,6000,0,103,15
12475,3,地精,时间就是金钱，我的朋友！,1076,6000,0,104,10
12476,3,地精,时间就是金钱，我的朋友！,1076,6000,0,105,10
12477,3,地精,只有我这儿，才是最好的买卖！,1076,6000,0,101,25
12478,3,地精,只有我这儿，才是最好的买卖！,1076,6000,0,102,25
12479,3,地精,只有我这儿，才是最好的买卖！,1076,6000,0,103,25
12480,3,地精,只有我这儿，才是最好的买卖！,1076,6000,0,104,16
12481,3,地精,只有我这儿，才是最好的买卖！,1076,6000,0,105,16
12482,3,地精保镖,站在我身后就行了！,1076,6000,0,108,4
12483,3,地精保镖,站在我身后就行了！,1076,6000,0,109,2
12484,3,地精保镖,站在我身后就行了！,1076,6000,0,110,3
12485,3,地精保镖,站在我身后就行了！,1076,6000,0,111,2
12486,3,地精保镖,站在我身后就行了！,1076,6000,0,108,8
12487,3,地精保镖,站在我身后就行了！,1076,6000,0,109,4
12488,3,地精保镖,站在我身后就行了！,1076,6000,0,110,6
12489,3,地精保镖,站在我身后就行了！,1076,6000,0,111,4
12490,3,地精族长,不要用那些破烂的石头来贿赂我！,1003,6000,0,106,1
12491,3,地精族长,不要用那些破烂的石头来贿赂我！,1003,6000,0,107,1
12492,3,地精族长,不要用那些破烂的石头来贿赂我！,1003,6000,0,106,2
12493,3,地精族长,不要用那些破烂的石头来贿赂我！,1003,6000,0,107,2
12494,3,迷路的麦哆酱,我饿了，给我个饭团吧~,1118,6000,0,200,1
12495,3,迷路的麦哆酱,我好渴，哥哥有喝的吗~,1118,6000,0,204,1
12496,4,秘境引路人,欢迎来到秘境。,2024,6000,0,0,
12497,4,秘境引导者,秘境模式下所有事件、战斗、奖励都是随机的。,2024,6000,0,0,
12498,4,秘境引路人,勇者，我在这里等你很久了。,2024,6000,0,0,
12499,4,秘境引导者,永恒将指引我们。,2024,6000,0,0,
12500,4,先祖灵魂,据说越深处的力量越强大，同时回报也越诱人。,2035,6000,0,0,
12501,4,欧蕾克,前面的道路充满了神秘。,2035,6000,0,0,
12502,4,先知,并非所有流浪者都迷失了自我。,2207,6000,0,0,
12503,4,迪卡凯恩,英雄请留步，且听我一言。,1103,6000,0,0,
12504,4,迪卡凯恩,在秘境中你无法回到过去，直到第二天，这里会是一片全新的景象。,1103,6000,0,0,
12505,4,莉亚,蜀黍~你在哪里？,1142,6000,0,0,
12506,4,莉亚,迷雾还未消失……,1142,6000,0,0,
12507,4,阿卜杜哈兹尔,你好！我是阿卜杜哈兹尔，你也许听说过我？还有我消失的传闻？没有吗？,1179,6000,0,0,
12508,4,另一位冒险家,咦，这里有人！一起合作探险吧。,1001,6000,0,0,
12509,4,另一位冒险家,咦，这里有人！一起合作探险吧。,1002,6000,0,0,
12510,4,另一位冒险家,咦，这里有人！一起合作探险吧。,1003,6000,0,0,
12511,4,另一位冒险家,咦，这里有人！一起合作探险吧。,1004,6000,0,0,
12512,4,另一位冒险家,咦，这里有人！一起合作探险吧。,1005,6000,0,0,
12513,4,另一位冒险家,咦，这里有人！一起合作探险吧。,1006,6000,0,0,
12514,4,耐操的GM,嗯？我怎么会在这里？,2250,6000,0,0,
12515,4,天天被骂的策划,阿嚏！——阿嚏！———,2254,6000,0,0,
