关卡ID,关卡名称,宝箱需要时间,每秒产出金币,每秒产出经验,需要战力,怪物模型队列,宝箱奖励ID队列,宝箱奖励权重队列,加速宝箱奖励ID队列,加速宝箱奖励权重队列,事件ID队列,图标ID,Layer1,Layer2,Layer3,Layer4,背景顶部颜色,背景底部颜色,装饰物ID_1,装饰物ID_2,装饰物ID_3,装饰物ID_4,场景ID,关卡描述,事件总时间
11,兰沃新街,120,13,18,3100,1045;1046;1076,42401;42402;42403;42408;42409;42410;42501;42502;42503;42504;42505;42540;42513;41421;41422;41423;41424;41425;41426;41427;41428;41429;41430;41431;41432;41433;40421;40422;40423;40424;40425;40426;40427;40428;40429;40430;40431;40432;40433,138;138;138;716;716;716;1250;1250;1250;1250;1250;1250;625;302;302;302;302;302;302;302;302;302;302;302;302;302;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721,42401;42402;42403;42408;42409;42410;42501;42502;42503;42504;42505;42540;42513;41421;41422;41423;41424;41425;41426;41427;41428;41429;41430;41431;41432;41433;40421;40422;40423;40424;40425;40426;40427;40428;40429;40430;40431;40432;40433,416;416;416;716;716;716;1250;1250;1250;1250;1250;1250;625;302;302;302;302;302;302;302;302;302;302;302;302;302;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721,31;32;33,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,兰沃新街描述内容,150
12,黑衣森林北部,120,17,22,3600,1061;1062;1057,42401;42402;42403;42408;42409;42410;42501;42502;42503;42504;42505;42540;42513;41423;41424;41425;41426;41427;41428;41429;41430;41431;41432;41433;41434;41435;40423;40424;40425;40426;40427;40428;40429;40430;40431;40432;40433;40434;40435,138;138;138;716;716;716;1250;1250;1250;1250;1250;1250;625;302;302;302;302;302;302;302;302;302;302;302;302;302;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721,42401;42402;42403;42408;42409;42410;42501;42502;42503;42504;42505;42540;42513;41423;41424;41425;41426;41427;41428;41429;41430;41431;41432;41433;41434;41435;40423;40424;40425;40426;40427;40428;40429;40430;40431;40432;40433;40434;40435,416;416;416;716;716;716;1250;1250;1250;1250;1250;1250;625;302;302;302;302;302;302;302;302;302;302;302;302;302;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721;2721,34;35;36,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,黑衣森林北部描述内容,150
13,丛林小径,120,19,25,4900,1066;1068;2035,42401;42402;42403;42408;42409;42410;42502;42503;42504;42505;42540;42506;42514;42529;42516;41426;41427;41428;41429;41430;41431;41432;41433;41434;41435;41436;41437;41438;40426;40427;40428;40429;40430;40431;40432;40433;40434;40435;40436;40437;40438,138;138;138;716;716;716;1250;1250;1250;1250;1250;1250;625;625;625;292;292;292;292;292;292;292;292;292;292;292;292;292;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634,42401;42402;42403;42408;42409;42410;42502;42503;42504;42505;42540;42506;42514;42529;42516;41426;41427;41428;41429;41430;41431;41432;41433;41434;41435;41436;41437;41438;40426;40427;40428;40429;40430;40431;40432;40433;40434;40435;40436;40437;40438,416;416;416;716;716;716;1250;1250;1250;1250;1250;1250;625;625;625;292;292;292;292;292;292;292;292;292;292;292;292;292;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634,37;38;39,3000,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3000,丛林小径描述内容,150
14,秋瓜浮村,120,20,27,5400,1093;1079;1089,42401;42402;42403;42408;42409;42410;42502;42503;42504;42505;42540;42506;42514;42529;42516;41429;41430;41431;41432;41433;41434;41435;41436;41437;41438;41439;41440;41441;40429;40430;40431;40432;40433;40434;40435;40436;40437;40438;40439;40440;40441,138;138;138;716;716;716;1250;1250;1250;1250;1250;1250;625;625;625;292;292;292;292;292;292;292;292;292;292;292;292;292;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634,42401;42402;42403;42408;42409;42410;42502;42503;42504;42505;42540;42506;42514;42529;42516;41429;41430;41431;41432;41433;41434;41435;41436;41437;41438;41439;41440;41441;40429;40430;40431;40432;40433;40434;40435;40436;40437;40438;40439;40440;40441,416;416;416;716;716;716;1250;1250;1250;1250;1250;1250;625;625;625;292;292;292;292;292;292;292;292;292;292;292;292;292;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634;2634,40;41;42,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,秋瓜浮村描述内容,150
15,村庄南部广场,300,23,31,6300,2035;1051;1127,42401;42402;42403;42409;42410;42411;42502;42503;42504;42505;42540;42506;42514;42529;42516;41432;41433;41434;41435;41436;41437;41438;41439;41440;41441;41442;41443;41444;40432;40433;40434;40435;40436;40437;40438;40439;40440;40441;40442;40443;40444,347;347;347;1316;1316;1316;1250;1250;1250;1250;1250;1250;625;625;625;274;274;274;274;274;274;274;274;274;274;274;274;274;2466;2466;2466;2466;2466;2466;2466;2466;2466;2466;2466;2466;2466,42401;42402;42403;42409;42410;42411;42502;42503;42504;42505;42540;42506;42514;42529;42516;41432;41433;41434;41435;41436;41437;41438;41439;41440;41441;41442;41443;41444;40432;40433;40434;40435;40436;40437;40438;40439;40440;40441;40442;40443;40444,1041;1041;1041;1316;1316;1316;1250;1250;1250;1250;1250;1250;625;625;625;274;274;274;274;274;274;274;274;274;274;274;274;274;2466;2466;2466;2466;2466;2466;2466;2466;2466;2466;2466;2466;2466,43;44;45,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,村庄南部广场描述内容,540
16,北部出口,300,25,34,7800,1063;1051;1127,42401;42402;42403;42404;42405;42406;42409;42410;42411;42503;42504;42505;42540;42506;42515;42514;42529;42516;41435;41436;41437;41438;41439;41440;41441;41442;41443;41444;41445;41446;41447;40435;40436;40437;40438;40439;40440;40441;40442;40443;40444;40445;40446;40447,347;347;347;2500;2500;2500;1316;1316;1316;1250;1250;1250;1250;1250;1250;625;625;625;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082,42401;42402;42403;42404;42405;42406;42409;42410;42411;42503;42504;42505;42540;42506;42515;42514;42529;42516;41435;41436;41437;41438;41439;41440;41441;41442;41443;41444;41445;41446;41447;40435;40436;40437;40438;40439;40440;40441;40442;40443;40444;40445;40446;40447,1041;1041;1041;2500;2500;2500;1316;1316;1316;1250;1250;1250;1250;1250;1250;625;625;625;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082,46;47;48,3050,0,3022,3023,3024,#7c1d1f,#d9632b,3025,3026,3027,3028,3050,北部出口描述内容,540
17,庄园古堡,300,26,36,9800,1081;1083;1091,42401;42402;42403;42409;42410;42411;42503;42504;42505;42540;42506;42515;42514;42529;42516;41438;41439;41440;41441;41442;41443;41444;41445;41446;41447;41448;41449;41450;40438;40439;40440;40441;40442;40443;40444;40445;40446;40447;40448;40449;40450,347;347;347;1316;1316;1316;1250;1250;1250;1250;1250;1250;625;625;625;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370,42401;42402;42403;42409;42410;42411;42503;42504;42505;42540;42506;42515;42514;42529;42516;41438;41439;41440;41441;41442;41443;41444;41445;41446;41447;41448;41449;41450;40438;40439;40440;40441;40442;40443;40444;40445;40446;40447;40448;40449;40450,1041;1041;1041;1316;1316;1316;1250;1250;1250;1250;1250;1250;625;625;625;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370,49;50;51,3070,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3070,庄园古堡描述内容,540
18,古堡通道,300,28,38,10700,1081;1083;1085,42401;42402;42403;42409;42410;42411;42503;42504;42505;42540;42506;42515;42514;42529;42516;41441;41442;41443;41444;41445;41446;41447;41448;41449;41450;41451;41452;41453;40441;40442;40443;40444;40445;40446;40447;40448;40449;40450;40451;40452;40453,347;347;347;1316;1316;1316;1250;1250;1250;1250;1250;1250;625;625;625;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370,42401;42402;42403;42409;42410;42411;42503;42504;42505;42540;42506;42515;42514;42529;42516;41441;41442;41443;41444;41445;41446;41447;41448;41449;41450;41451;41452;41453;40441;40442;40443;40444;40445;40446;40447;40448;40449;40450;40451;40452;40453,1041;1041;1041;1316;1316;1316;1250;1250;1250;1250;1250;1250;625;625;625;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370,52;53;54,3000,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3000,古堡通道描述内容,540
19,古堡密室,300,29,40,12700,1087;1089;1076,42401;42402;42403;42409;42410;42411;42504;42505;42540;42506;42515;42507;42514;42529;42516;41444;41445;41446;41447;41448;41449;41450;41451;41452;41453;41454;41455;41456;40444;40445;40446;40447;40448;40449;40450;40451;40452;40453;40454;40455;40456,347;347;347;1316;1316;1316;1250;1250;1250;1250;1250;1250;625;625;625;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370,42401;42402;42403;42409;42410;42411;42504;42505;42540;42506;42515;42507;42514;42529;42516;41444;41445;41446;41447;41448;41449;41450;41451;41452;41453;41454;41455;41456;40444;40445;40446;40447;40448;40449;40450;40451;40452;40453;40454;40455;40456,1041;1041;1041;1316;1316;1316;1250;1250;1250;1250;1250;1250;625;625;625;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370,55;56;57,3040,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3040,古堡密室描述内容,540
20,黑衣森林南部,900,35,43,14700,1082;1087;1076,42401;42402;42403;42404;42405;42406;42409;42410;42411;42412;42414;42504;42505;42540;42506;42515;42507;42514;42529;42516;41447;41448;41449;41450;41451;41452;41453;41454;41455;41456;41457;41458;41459;40447;40448;40449;40450;40451;40452;40453;40454;40455;40456;40457;40458;40459,1041;1041;1041;3000;3000;3000;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;625;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750,42401;42402;42403;42404;42405;42406;42409;42410;42411;42412;42414;42504;42505;42540;42506;42515;42507;42514;42529;42516;41447;41448;41449;41450;41451;41452;41453;41454;41455;41456;41457;41458;41459;40447;40448;40449;40450;40451;40452;40453;40454;40455;40456;40457;40458;40459,3124;3124;3124;3000;3000;3000;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;625;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750,58;59;60,3050,0,3022,3023,3024,#7c1d1f,#d9632b,3025,3026,3027,3028,3050,黑衣森林南部描述内容,1260
21,遗迹入口,900,37,46,18200,1076;1096;1047,42401;42402;42403;42409;42410;42411;42412;42414;42504;42505;42540;42506;42515;42507;42514;42529;42516;41450;41451;41452;41453;41454;41455;41456;41457;41458;41459;41460;41461;41462;40450;40451;40452;40453;40454;40455;40456;40457;40458;40459;40460;40461;40462,1041;1041;1041;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;625;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096,42401;42402;42403;42409;42410;42411;42412;42414;42504;42505;42540;42506;42515;42507;42514;42529;42516;41450;41451;41452;41453;41454;41455;41456;41457;41458;41459;41460;41461;41462;40450;40451;40452;40453;40454;40455;40456;40457;40458;40459;40460;40461;40462,3124;3124;3124;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;625;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096,61;62;63,3070,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3070,遗迹入口描述内容,1260
22,神庙遗迹,900,40,48,20200,1090;1096;1084,42401;42402;42403;42409;42410;42411;42412;42414;42505;42540;42506;42515;42507;42508;42514;42529;42516;41453;41454;41455;41456;41457;41458;41459;41460;41461;41462;41463;41464;41465;40453;40454;40455;40456;40457;40458;40459;40460;40461;40462;40463;40464;40465,1041;1041;1041;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;625;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096,42401;42402;42403;42409;42410;42411;42412;42414;42505;42540;42506;42515;42507;42508;42514;42529;42516;41453;41454;41455;41456;41457;41458;41459;41460;41461;41462;41463;41464;41465;40453;40454;40455;40456;40457;40458;40459;40460;40461;40462;40463;40464;40465,3124;3124;3124;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;625;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096,64;65;66,3000,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3000,神庙遗迹描述内容,1260
23,龙穴,900,42,49,24200,1052;1054;1084,42401;42402;42403;42409;42410;42411;42412;42414;42505;42540;42506;42515;42507;42508;42514;42529;42516;41456;41457;41458;41459;41460;41461;41462;41463;41464;41465;41466;41467;41468;40456;40457;40458;40459;40460;40461;40462;40463;40464;40465;40466;40467;40468,1041;1041;1041;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;625;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096,42401;42402;42403;42409;42410;42411;42412;42414;42505;42540;42506;42515;42507;42508;42514;42529;42516;41456;41457;41458;41459;41460;41461;41462;41463;41464;41465;41466;41467;41468;40456;40457;40458;40459;40460;40461;40462;40463;40464;40465;40466;40467;40468,3124;3124;3124;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;625;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096,67;68;69,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,龙穴描述内容,3660
24,黑衣森林中部,900,44,52,32200,1058;1069;1066,42401;42402;42403;42409;42410;42411;42412;42414;42506;42515;42507;42508;42509;42510;42514;42529;42516;41459;41460;41461;41462;41463;41464;41465;41466;41467;41468;41469;41470;41471;40459;40460;40461;40462;40463;40464;40465;40466;40467;40468;40469;40470;40471,1041;1041;1041;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;625;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096,42401;42402;42403;42409;42410;42411;42412;42414;42506;42515;42507;42508;42509;42510;42514;42529;42516;41459;41460;41461;41462;41463;41464;41465;41466;41467;41468;41469;41470;41471;40459;40460;40461;40462;40463;40464;40465;40466;40467;40468;40469;40470;40471,3124;3124;3124;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;625;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096;1096,70;71;72,3000,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3000,黑衣森林中部描述内容,3660
25,商队驿道,900,47,54,40200,1054;1059;1069,42401;42402;42403;42409;42410;42411;42412;42414;42506;42515;42507;42508;42509;42510;42529;42516;41462;41463;41464;41465;41466;41467;41468;41469;41470;41471;41472;41473;41474;40462;40463;40464;40465;40466;40467;40468;40469;40470;40471;40472;40473;40474,1041;1041;1041;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120,42401;42402;42403;42409;42410;42411;42412;42414;42506;42515;42507;42508;42509;42510;42529;42516;41462;41463;41464;41465;41466;41467;41468;41469;41470;41471;41472;41473;41474;40462;40463;40464;40465;40466;40467;40468;40469;40470;40471;40472;40473;40474,3124;3124;3124;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120,73;74;75,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,商队驿道描述内容,3660
26,营地废墟,900,49,58,52200,1083;1054;1094,42401;42402;42403;42409;42410;42411;42412;42414;42506;42515;42507;42508;42509;42510;42529;42516;41465;41466;41467;41468;41469;41470;41471;41472;41473;41474;41475;41476;41477;40465;40466;40467;40468;40469;40470;40471;40472;40473;40474;40475;40476;40477,1041;1041;1041;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120,42401;42402;42403;42409;42410;42411;42412;42414;42506;42515;42507;42508;42509;42510;42529;42516;41465;41466;41467;41468;41469;41470;41471;41472;41473;41474;41475;41476;41477;40465;40466;40467;40468;40469;40470;40471;40472;40473;40474;40475;40476;40477,3124;3124;3124;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120,76;77;78,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,营地废墟描述内容,3660
27,低径,900,52,61,64200,1051;1083;1096,42401;42402;42403;42404;42405;42406;42409;42410;42411;42412;42414;42506;42515;42507;42508;42509;42510;42529;42516;41468;41469;41470;41471;41472;41473;41474;41475;41476;41477;41478;41479;41480;40468;40469;40470;40471;40472;40473;40474;40475;40476;40477;40478;40479;40480,1041;1041;1041;3000;3000;3000;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774,42401;42402;42403;42404;42405;42406;42409;42410;42411;42412;42414;42506;42515;42507;42508;42509;42510;42529;42516;41468;41469;41470;41471;41472;41473;41474;41475;41476;41477;41478;41479;41480;40468;40469;40470;40471;40472;40473;40474;40475;40476;40477;40478;40479;40480,3124;3124;3124;3000;3000;3000;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774,79;80;81,3050,0,3022,3023,3024,#7c1d1f,#d9632b,3025,3026,3027,3028,3050,低径描述内容,3660
