激活码ID,奖励ID数组,领取次数上限,开始日期,结束日期,礼包说明,互斥礼包
43,40246;40260;40274;40283;40287,1,2015-1-6,2015-12-31,17173独家礼包,42;43;44;45;46;47;48;49;50;51;52;53
44,40247;40261,1,2015-1-6,2015-12-31,新浪独家礼包,42;43;44;45;46;47;48;49;50;51;52;53
45,40248;40262;40275,1,2015-1-6,2015-12-31,新浪尊享礼包,42;43;44;45;46;47;48;49;50;51;52;53
46,40249;40263;40276,1,2015-1-6,2015-12-31,5253独家礼包,42;43;44;45;46;47;48;49;50;51;52;53
47,40250;40264,1,2015-1-6,2015-12-31,腾讯独家礼包,42;43;44;45;46;47;48;49;50;51;52;53
48,40251;40265,1,2015-1-6,2015-12-31,U9独家礼包,42;43;44;45;46;47;48;49;50;51;52;53
49,40252;40266,1,2015-1-6,2015-12-31,口袋巴士独家礼包,42;43;44;45;46;47;48;49;50;51;52;53
50,40253;40267;40277,1,2015-1-6,2015-12-31,超好玩独家礼包,42;43;44;45;46;47;48;49;50;51;52;53
51,40254;40268;40278,1,2015-1-6,2015-12-31,魔方网独家礼包,42;43;44;45;46;47;48;49;50;51;52;53
52,40255;40269;40279,1,2015-1-6,2015-12-31,任玩堂独家礼包,42;43;44;45;46;47;48;49;50;51;52;53
53,40256;40270,1,2015-1-6,2085-1-6,《勇者逗饿龙》新手礼包,42;43;44;45;46;47;48;49;50;51;52;53
54,40306;40290;40296,1,2015-1-6,2085-12-31,新手礼包,
55,40307;40291;40297,1,2015-1-6,2085-12-31,公会礼包1,
56,40308;40292;40298,1,2015-1-6,2085-12-31,公会礼包2,
57,40309;40293;40299;40302,1,2015-1-6,2085-12-31,特权礼包1,
58,40310;40294;40300;40303,1,2015-1-6,2085-12-31,特权礼包2,
59,40311;40295;40301;40304;40305,1,2015-1-6,2085-12-31,尊享礼包,
60,40312;40315;40318,1,2015-1-6,2015-12-31,Pro参与奖,
61,40313;40316;40319;40321,1,2015-1-6,2015-12-31,MAX最佳写手奖,
62,40314;40317;40320;40322,1,2015-1-6,2015-12-31,Heroes支持奖,
63,40323;40334;40345;40351;40353,1,2015-1-6,2015-12-31,第二批-18183独家礼包,63;64;65;66;67;68;69;70;71;72
64,40324;40335;40346;40352;40354,1,2015-1-6,2015-12-31,第二批-17173独家礼包,63;64;65;66;67;68;69;70;71;72
65,40325;40336,1,2015-1-6,2015-12-31,第二批-不凡特权礼包,63;64;65;66;67;68;69;70;71;72
66,40326;40337;40347,1,2015-1-6,2015-12-31,第二批-游戏狗特权礼包,63;64;65;66;67;68;69;70;71;72
67,40327;40338,1,2015-1-6,2015-12-31,第二批-口袋巴士特权礼包,63;64;65;66;67;68;69;70;71;72
68,40328;40339;40348,1,2015-1-6,2015-12-31,第二批-72G特权礼包,63;64;65;66;67;68;69;70;71;72
69,40329;40340;40349,1,2015-1-6,2015-12-31,第二批-魔方网特权礼包,63;64;65;66;67;68;69;70;71;72
70,40330;40341,1,2015-1-6,2015-12-31,第二批-4399特权礼包,63;64;65;66;67;68;69;70;71;72
71,40331;40342;40350,1,2015-1-6,2015-12-31,第二批-手游圈内人特权礼包,63;64;65;66;67;68;69;70;71;72
72,40332;40343,1,2015-1-6,2015-12-31,第二批-超好玩特权礼包,63;64;65;66;67;68;69;70;71;72
73,40333;40344,1,2015-1-6,2015-12-31,第二批-《勇者逗恶龙》尊享礼包,
74,40355;40356;40357;40358;40359;40360;40361;40362;40363;40364;40365,1,2015-1-6,2015-12-31,勇者大礼包,
